accident_period,period,0,12,24,36,48,60
0,2010-01-01,832029486.03531,831328315.25607,830999174.51965,830997104.85274,831001104.20218,830965554.26677
1,2011-01-01,839767489.28427,836302249.46634,836106060.35255,836071678.53381,836518153.6668,836503495.59545
2,2012-01-01,831875741.53569,828924653.67677,828592725.33496,828667580.58712,828630254.57971,828626699.26636
3,2013-01-01,841492629.97203,839761586.0268,839588435.84574,839534865.78865,839532506.33181,839531356.20511
4,2014-01-01,883006683.4824,878318134.07011,878172934.05829,878128215.801,878079725.6378,878072461.06786
5,2015-01-01,841268395.33456,839444887.84718,839192413.10246,839106603.53488,839093187.05159,
