accident_period,period,0,12,24,36,48,60
0,2010-01-01,118876786.00000001,239879923.70943063,337117738.73307985,425726157.0935614,492429411.2220569,515175405.95374376
1,2011-01-01,125252137.0,268528945.48750836,394613211.05410486,508312262.8809579,565734621.7197464,596756735.3165786
2,2012-01-01,117085298.99999999,251574715.93426856,369784388.4749186,449710389.68854654,515636700.2471581,552575474.2471582
3,2013-01-01,127418921.99999999,275312680.495668,403367575.81054294,516540738.618947,599351854.1531677,654608915.8197634
4,2014-01-01,139817284.0,321583574.5475294,497090712.5775042,668794319.1830169,798274855.1392238,850721917.7773768
5,2015-01-01,86772581.99999997,208662319.76933667,331091666.2545342,445843736.8151995,517988656.80566525,
